palavras,n_ocorrencias,desvio_padrao
salma,3,219.110322288416
jetzt,4,219.098912213944
orcas,3,219.092065884033
towing,5,219.091761597738
ces,16,219.050945368119
skeets,4,219.025683425483
advert,3,219.007610217849
newton,12,218.919453847134
dungeons,6,218.910636257507
dystopic,3,218.909418101034
incarnation,3,218.872870254249
stained,20,218.828940643503
propane,3,218.815752022868
grammatically,5,218.791453215156
bonhanson,21,218.764398165611
roommate,22,218.737839488833
ph,49,218.704647388014
dian,4,218.570164173125
tents,21,218.448075992355
creed,8,218.423531895522
uab,12,218.411343916737
inews,32,218.407875315887
braucht,3,218.339949009185
propellant,3,218.259020432146
satanic,11,218.25693782579
isaacman,4,218.249093163446
gahr,3,218.238401753679
conveys,4,218.222172720067
polarizing,6,218.183103531567
bittersweet,3,218.087902767057
mln,3,217.899824078252
gadget,10,217.884169023615
roxanne,8,217.848571259947
valentines,34,217.835487157719
novembre,3,217.808019442199
contributors,23,217.80577524764
ggo,4,217.785062236448
boeing,51,217.784509433108
sausage,49,217.72561993994
salience,3,217.661051484489
auctioneer,3,217.661051484489
passwords,8,217.65831676539
pork,49,217.651573582626
hues,4,217.639610365393
tightened,3,217.538502339241
hutchinson,5,217.392962167592
cyberattacks,7,217.372841866118
balanced,25,217.356481384844
nashvillescene,4,217.352823768177
ojp,5,217.293580208896
whoopsie,7,217.261746901443
cringe,31,217.252189812887
sala,3,217.15048545498
ribs,37,217.119841390706
lola,5,217.080630181507
dwellers,3,217.0
volcanoes,3,216.966203205323
calculator,6,216.914191943881
quake,3,216.853252992279
pooh,8,216.738156703956
ady,3,216.724094953315
amends,7,216.70080317165
wgv,4,216.681025165257
football,349,216.667204757654
kx,15,216.593650700591
marijuana,11,216.583639103402
upping,20,216.55179883563
bonkski,3,216.515588353356
atl,3,216.50866033487
danville,3,216.50635094611
samurai,4,216.5
leanings,3,216.426276901243
addendum,3,216.338469379196
sour,15,216.272050898862
stalled,23,216.172343775606
finalists,3,216.048605642342
quesadillas,14,216.030535590903
royal,123,215.994420986687
gunreformnow,4,215.955242276419
bombshelldaily,3,215.94520910021
okefenokee,3,215.92900067692
timmy,3,215.92900067692
revives,3,215.92900067692
ingrid,3,215.92900067692
adieu,4,215.870910499771
bracket,13,215.857740427727
chocolates,10,215.842252067981
curses,3,215.806240255775
pooped,3,215.695000714744
charger,5,215.657830833939
earthjustice,3,215.654816779037
hitch,3,215.56978761722
chrome,30,215.528316405093
splains,4,215.5
classify,12,215.482123282989
commonwealth,18,215.47901494659
johnh,3,215.459973080849
msmichy,4,215.387054702304
bonespur,3,215.353972179139
cigarette,5,215.283998476431
nutters,4,215.278114695077
lori,15,215.221414229294
lexit,56,215.172630785054
curds,10,215.149973532676
okla,5,215.129495885618
glorified,12,215.074335281943
winton,4,215.0
restarted,3,214.965888766877
keljhou,5,214.926731701759
psyche,5,214.821553853425
lance,3,214.78361203779
reincarnate,3,214.774300138541
herpes,5,214.755209482797
curiously,3,214.714539175467
friedrich,11,214.69386238422
